ID,Name,Field names,Data types,Units,Default values,Description,Senders,Receivers,Send interval,Convert endianness,Type,Properties,Send frequency
506,ChC_ChargersState,"ch1OK, ch2OK, ch3OK, ch1Alive, ch2Alive, ch3Alive, pad,ch1HiTemp,ch1OPOff,ch1ACFail,ch1Short,ch1OLP,ch1OVP,ch1OTP,ch1FanFail,ch2HiTemp,ch2OPOff,ch2ACFail,ch2Short,ch2OLP,ch2OVP,ch2OTP,ch2FanFail,ch3HiTemp,ch3OPOff,ch3ACFail,ch3Short,ch3OLP,ch3OVP,ch3OTP,ch3FanFail","bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, uint8_t: 2, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1","T/F, T/F, T/F, T/F, T/F, T/F, -, T/F,T/F,T/F,T/F,T/F,T/F,T/F,T/F, T/F,T/F,T/F,T/F,T/F,T/F,T/F,T/F, T/F,T/F,T/F,T/F,T/F,T/F,T/F,T/F","false,false,false, false,false,false, 0, 0,0,0,0,0,0,0,0, 0,0,0,0,0,0,0,0, 0,0,0,0,0,0,0,0",State of the MW3200 chargers connected to the ChC,ChC,FUC,20,1,A,,10
507,ChC_CurrentControlSetpoint,"currentInMax, currentOutMax, enable","uint16_t, uint16_t, bool:1","cA, cA, T/F","0.f, 0.f, false",Setpoint for the ChC and whether to enable current control,ChC,,10,1,A,,5
508,ChC_ChargerSetpoint,"current, voltage","float, float","A, V","0.f, 0.f","Setpoint (I_OUT, V_OUT) that is written to the chargers",ChC,,10,1,A,,5
509,ChC_BusMeasurement,"voltage, current","float, float","V, A","0.f, 0.f",Voltage and current measured at the bus side of the chargers,ChC,BoC,20,1,A,,10
510,ChC_ValidatedPVCurrent,"current, method","float, PVCurrentMethod","A, method","0.f, PVCurrentMethod::Unknown",PV current used by the ChC and the method by which it was obtained,ChC,,10,1,A,,5
510,IVT_Msg_Debug,"DB0, DB1, DB2, DB3, DB4, DB5, DB6, DB7","int8_t, int8_t, int8_t, int8_t, int8_t, int8_t, int8_t, int8_t","-, -, -, -, -, -, -, -","0, 0, 0, 0, 0, 0, 0, 0",According to IVT datasheet,IVT,BMS,,1,A,,0
511,ChC_InputCurrent,current,float,A,0.f,RMS current measured at the input of the charger,ChC,,100,1,A,,5
512,ChC_InputVoltage,voltage,float,V,0.f,Voltage measured at the input of the charger,ChC,,40,1,A,,5
513,SAC_RxPDO1,"targetTorque, opMode","int16_t, EPOS4OpMode","-, opMode","0, EPOS4OpMode::PPM",Target torque and mode of operation for the Steering Actuator Controller,ACU,SAC,,0,A,,0
514,MPPT_PowerLevel,powerLevel,uint8_t,%,0,MPPT 1 power level,PvC,MPPT1,,1,A,,0
514,BAC_RxPDO1,"targetTorque, opMode","int16_t, EPOS4OpMode","-, opMode","0, EPOS4OpMode::PPM",Target torque and mode of operation for the Braking Actuator Controller,ACU,BAC,,0,A,,0
517,ChC_ControllerSetting,"targetCurrent,limitingFactor,eta,enabled","float, ChCLimitingFactor, uint8_t,bool:1","A, Factor, %, T/F","0.f, ChCLimitingFactor::BMS, 0, 0",Target current and limiting factor of the BMS,ChC,,10,1,A,,20
518,ChC_ChargerOutputVoltages,"ch1Voltage, ch2Voltage, ch3Voltage","uint16_t, uint16_t, uint16_t","dV, dV, dV","0, 0, 0",Output voltages of the separate chargers connected to the ChC,ChC,,10,1,A,,20
519,ChC_ChargerOutputCurrents,"ch1Current, ch2Current, ch3Current","uint16_t, uint16_t, uint16_t","dA, dA, dA","0, 0, 0",Output currents of the separate chargers connected to the ChC,ChC,,10,1,A,,20
520,ChC_ProtocolState,"state, current, hasProximity, isCANSetpoint, isChargingPortSetpoint","SAEJ1772State, SAEJ1772Current, bool:1, bool:1, bool:1","state, current, T/F, T/F, T/F","SAEJ1772State::Unknown, SAEJ1772Current::Unknown, false, false, false",State of the SAE J1772 protocol connection on the ChC,ChC,,20,1,A,,10
521,ChC_ProtocolMeasurement,"cpDutyCycle, ppVoltage","float, float","%, V","0.f, 0.f",Measurements of the charging port analog values,ChC,,40,1,A,,5
522,ChC_ChargingControlState,"state, error, bmsAlive","ChargingControlState, ChargingControlError, bool:1","state, error, alive","ChargingControlState::Off, ChargingControlError::None, false",State of the ChC charging control,ChC,,10,1,A,,20
523,ChC_ProtocolAmpacity,ampacity,float,A,0.f,Ampacity according to the SAE J1772 protocol in case where the ampacity is equation-based,ChC,,40,1,A,,5
524,ChC_ChargerTemperatures,"ch1Temperature, ch2Temperature, ch3Temperature","int16_t, int16_t, int16_t","ddegC, ddegC, ddegC","0, 0, 0",Charger temperatures,ChC,,40,1,A,,5
528,ChC_CurrentCounter,"wh, as","int32_t, int32_t","Wh, As","0,0",Current counter of the ChC since last start,ChC,,,5,A,,10
529,ChC_AmpacityLimit,limit,float,A,INFINITY,Ampacity limit of the ChC,ChC,SSB,,5,A,,10
550,ChC_ProtocolSetpoint_Override,"state, current","SAEJ1772State, SAEJ1772Current","state, current","SAEJ1772State::Standby, SAEJ1772Current::None",CAN override for the ChC protocol setpoint,,ChC,,0,A,,0
561,ChC_CurrentControl_State,"totalControlAction, enable, feedbackEnable, feedForwardEnable, antiWindupEnable","float, bool:1, bool:1, bool:1, bool:1","A, T/F, T/F,T/F,T/F","0.f, false, false, false, false",State of the ChC current controller,ChC,,,5,A,,10
562,ChC_CurrentControl_Feedback,"feedbackControlAction, integrator","float,float","A, A","0.f, 0.f",State of the feed-back part of the ChC current control subsystem,ChC,,,5,A,,10
563,ChC_CurrentControl_FeedForward,"feedForwardControlAction","float","A","0.f",State of the feed-forward part of the ChC current control subsystem,ChC,,,5,A,,10
564,ChC_CurrentControl_Saturation,"lowerBound,upperBound","float,float","A,A","0.f, 0.f",Lower and upper bound of the ChC current control output saturation,ChC,,,5,A,,10
570,ChC_GitInfo,"hash,controllerRepoState,eslibRepoState,canspecRepoState","uint32_t,RepoState,RepoState,RepoState","-,-,-,-","0,RepoState::Unknown,RepoState::Unknown,RepoState::Unknown",Git repository state of the ACU,ACU,,,1,A,,5
571,ChC_BuildTimeStamp,"year,month,day,hour,minute","uint16_t,Month,uint8_t,uint8_t,uint8_t","year,month,day,hour,minute","0,Month::Unknown,0,0,0",Timestamp of the build of the current ChC binary,ChC,,,1,A,,0
600,FUC_Version,"swMajor, swMinor, eslibMajor, eslibMinor, cliMajor, cliMinor","uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t","#, #, #, #, #, #","0, 0, 0, 0, 0, 0",ChC version message,ChC,,,1,A,,0
601,FUC_Keepalive,"lvcAlive, bmsAlive, acuAlive, pvcAlive, chcAlive, ssbAlive, rauxAlive, bbAlive, mk5Alive, pscbAlive","bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1, bool: 1","T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F","0, 0, 0, 0, 0, 0, 0, 0, 0, 0",FUC keepalive message,FUC,,40,1,A,,5
602,FUC_PrimaryDisplayMode,mode,PrimaryDisplayMode,state,PrimaryDisplayMode::RDW,The mode of the primary display,FUC,"BoC, PsCB",,1,A,,0
603,FUC_Input,"heater, fan, dss, leftDoorOpen, rightDoorOpen","bool:1, bool:1, bool: 1, bool: 1, bool: 1","On/Off, On/Off, On/Off, T/F, T/F","0, 0, 0, 0, 0",The state of the physical inputs present on the FUC,FUC,SSB,40,1,A,,5
604,FUC_Telltales,"leftIndicatorBroken, rightIndicatorBroken, leftLowBeamBroken, rightLowBeamBroken","bool: 1, bool: 1, bool: 1, bool: 1","T/F, T/F, T/F, T/F","0, 0, 0, 0",Whether the lights on the FUC are broken,FUC,,40,1,A,,5
605,FUC_CMSState,state,CMSState,state,CMSState::Off,The state of the CMS according to the FUC,FUC,PsCB,,1,A,,0
606,FUC_CMSRightError,error,CMSError,error,CMSError::None,Error of the left CMS screen and camera,FUC,PsCB,,1,A,,0
607,FUC_EnableExternalCharging,enable,uint8_t,T/F,0,Whether external charging should be enabled upon exiting Drive state,FUC,,,1,A,,0
608,FUC_SyncTimer,timer,uint64_t,us,0,Sync timer for the FUC,FUC,,,1,A,,0
609,FUC_LogFlag,flag,bool,-,0,Log flag for the FUC,FUC,,20,1,A,,10
620,FUC_DemoTurnOn,turnOn,bool,T/F,false,Enables the demo turn-on sequence for during the car presentation,,FUC,,1,A,,0
621,FUC_GitInfo,"hash,controllerRepoState,eslibRepoState,canspecRepoState","uint32_t,RepoState,RepoState,RepoState","-,-,-,-","0,RepoState::Unknown,RepoState::Unknown,RepoState::Unknown",Git repository state of the FUC,FUC,,,1,A,,5
622,FUC_BuildTimeStamp,"year,month,day,hour,minute","uint16_t,Month,uint8_t,uint8_t,uint8_t","year,month,day,hour,minute","0,Month::Unknown,0,0,0",Timestamp of the build of the current FUC binary,FUC,,,1,A,,0
641,SAC_TxPDO1,"actualCurrent, actualTorque","int32_t, int16_t","-, -","0, 0",Actual torque and current of the Steering Actuator,SAC,ACU,,0,A,,0
642,BAC_TxPDO1,"actualCurrent, actualTorque","int32_t, int16_t","-, -","0, 0",Actual torque and current of the Braking Actuator,BAC,ACU,,0,A,,0
643,MPPT1_VoltageOutAndPowerIn,"voltageOut, powerIn","float, float","V, mW","0.f, 0.f",MPPT 1 voltage OUT and power IN,MPPT1,PvC,,1,A,Mirror=true,0
644,MPPT2_VoltageOutAndPowerIn,"voltageOut, powerIn","float, float","V, mW","0.f, 0.f",MPPT 2 voltage OUT and power IN,MPPT2,PvC,,1,A,Mirror=true,0
645,MPPT3_VoltageOutAndPowerIn,"voltageOut, powerIn","float, float","V, mW","0.f, 0.f",MPPT 3 voltage OUT and power IN,MPPT3,PvC,,1,A,Mirror=true,0
700,SSB_Version,"swMajor, swMinor, eslibMajor, eslibMinor, cliMajor, cliMinor","uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t","#, #, #, #, #, #","0, 0, 0, 0, 0, 0",SSB version message,SSB,,,1,A,,0
701,SSB_WiperSpeed,"speed, squirt","WiperSpeed, bool","wiper speed, T/F","WiperSpeed::Off, 0",Speed of the wiper and whether to active the washer pump,SSB,FUC,20,1,A,,0
702,SSB_CruiseControl,"setpoint, enable","float, bool","m/s, T/F","0.f, 0",Whether to enable cruise control and the setpoint,SSB,ACU,20,1,A,,10
703,SSB_Honk,enable,bool: 1,On/Off,0,State of the honk according to the SSB,SSB,FUC,20,1,A,,10
704,SSB_WSCButtons,"enableRegen, brightenScreen, enableRearCamera","bool: 1, bool: 1, bool: 1","T/F, T/F, T/F","0, 0, 0",Toggling of WSC-specific functions according to the SSB,SSB,"ACU, PsCB, RAUX",20,1,A,,10
705,SSB_ChargingAmpacityLimit,limit,float,A,INFINITY,Ampacity limit by the SSB during charging,SSB,ChC,20,1,A,,10
750,RAUX_Keepalive,"acuAlive,ssbAlive","bool:1, bool:1","T/F, T/F","0,0",Keepalive of the RAUX,RAUX,,,1,A,,0
751,RAUX_Version,"swMajor, swMinor, eslibMajor, eslibMinor, cliMajor, cliMinor","uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t","#, #, #, #, #, #","0, 0, 0, 0, 0, 0",RAUX version message,RAUX,,,1,A,,0
752,RAUX_LightsStatus,"rearLightBroken, rearLeftIndicatorBroken, rearRightIndicatorBroken, rearFogLightBroken","bool: 1, bool: 1, bool: 1, bool: 1","T/F, T/F, T/F, T/F","0, 0, 0, 0",Status of the lights connected to the RAUX,RAUX,,,1,A,,0
800,BB_DSSState,state,DSSState,State,DSSState::Off,State of the autonomous system,BB,FUC,,1,A,,10
850,AVC_Version,"swMajor, swMinor, eslibMajor, eslibMinor, cliMajor, cliMinor","uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t","#, #, #, #, #, #","0, 0, 0, 0, 0, 0",AVC version message,AVC,,1,1,A,,0
851,AVC_Keepalive,avcAlive,bool: 1,T/F,false,Keepalive of the AVC,AVC,,5,1,A,,10
852,AVC_State,state,AVCState,state,AVCState::Unknown,State of the AVC,AVC,,5,1,A,,10
853,AVC_DiagnosticGeneral,"manualOverrideEnabled, fanEnabled","bool: 1, bool: 1","T/F, T/F","false, false",AVC general diagnostic information,AVC,,10,1,A,,5
854,AVC_DiagnosticTemp,"NTCTemp1, NTCTemp2","float, float","Centigrade, Centigrade","0.f, 0.f",AVC diagnostic information of temperatures,AVC,,10,1,A,,5
855,AVC_DiagnosticEE,"converterVoltage, converterCurrent","float, float","Volt, Ampere","0.f, 0.f",AVC diagnostic information of electronics,AVC,,10,1,A,,5
856,AVC_Servicing,disableConverter,bool: 1,T/F,false,Message to manually disabled the converters of the AVC,AVC,,,1,A,,0
897,SAC_TxPDO2,"statusWord, opMode","uint16_t, EPOS4OpMode","status word, opmode","0, EPOS4OpMode::PPM",Status word and operation mode of the Steering Actuator Controller,SAC,ACU,,0,A,,0
898,BAC_TxPDO2,"statusWord, opMode","uint16_t, EPOS4OpMode","status word, opmode","0, EPOS4OpMode::PPM",Status word and operation mode of the Braking Actuator Controller,BAC,ACU,,0,A,,0
903,MK5_17Compat_ACUOverrule,"dnr, overruleDNR, throtSensor1On, throtSensor2On, brakeSensor1On, brakeSensor2On, inverterLOn, inverterROn, regenBrakingOn","DNR, bool : 1, bool : 1, bool : 1, bool : 1, bool : 1, bool : 1, bool : 1, bool : 1","RND, T/F, T/F, T/F, T/F, T/F, T/F, T/F, T/F","DNR::N, 0, 1, 1, 1, 1, 1, 1, 1",MK5 ACU overrule message (here for MCU '17 compatibility),MK5,ACU,,1,A,,0
1000,BoC_Request_PrimaryDisplayMode,requestState,PrimaryDisplayMode,state,PrimaryDisplayMode::RDW,When HVI wants to request the primary screen to switch to a mode,BoC,FUC,,1,A,,0
1001,BoC_Request_Regenerative,enable,bool : 1,T/F,0,When HVI wants to request enabling / disabling regenerative braking,BoC,ACU,,1,A,,0
1002,BoC_Request_Autonomy_Sensing,enable,bool: 1,T/F,false,When HVI wants to request the LVC to turn on the Bluebox,BoC,LVC,,1,A,,0
1003,BoC_Request_Honk,placeHolder,uint8_t,placeHolder,0,When the honk command is sent from the mobile app,BoC,FUC,,1,A,,0
1004,BoC_Request_VehicleState,requestState,VehicleState,state,VehicleState::Drive,When HVI wants to request the LVC to switch to a vehicle state,BoC,LVC,,1,A,,0
1041,IVT_Msg_Command,"commandByte, db1, db2, db3, db4, db5, db6, db7","uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t","-, -, -, -, -, -, -, -","0, 0, 0, 0, 0, 0, 0, 0",According to IVT datasheet,BMS,IVT,,1,A,,0
1050,PsCB_Version,"swMajor, swMinor, eslibMajor, eslibMinor, cliMajor, cliMinor","uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t","#, #, #, #, #, #","0, 0, 0, 0, 0, 0",PsCB version message,PsCB,,,1,A,,0
1051,PsCB_Keepalive,"lvcAlive, bmsAlive, acuAlive, pvcAlive, chcAlive, ssbAlive, fucAlive, rauxAlive, bbAlive, mk5Alive","bool:1,bool:1,bool:1,bool:1,bool:1,bool:1,bool:1,bool:1,bool:1,bool:1","T/F,T/F,T/F,T/F,T/F,T/F,T/F,T/F,T/F,T/F","0,0,0,0,0,0,0,0,0,0","Keepalive message of the PsCB, containing whether it considers other controllers to be alive or not",PsCB,,,1,A,,0
1052,PsCB_CMSLeftError,error,CMSError,error,CMSError::None,Error of the left CMS screen and camera,PsCB,,,1,A,,0
1060,ESB_Version,"swMajor, swMinor, eslibMajor, eslibMinor, cliMajor, cliMinor","uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t","#, #, #, #, #, #","0, 0, 0, 0, 0, 0",ESB version message,ESB,,,1,A,,0
1061,ESB_SliderPosition,position,float,0-1,0.f,Position of the energy slider,ESB,,,1,A,Mirror=true,0
1080,BMS_Sat1_MetaCellVoltages1,"cell1, cell2, cell3, cell4","uint16_t, uint16_t, uint16_t, uint16_t","mV, mV, mV, mV","0, 0, 0, 0","MetaCell voltages for satellite 1, cells 1 to 4",BMS,,200,1,A,,1
1081,BMS_Sat1_MetaCellVoltages2,"cell5, cell6, cell7, cell8","uint16_t, uint16_t, uint16_t, uint16_t","mV, mV, mV, mV","0, 0, 0, 0","MetaCell voltages for satellite 1, cells 5 to 8",BMS,,200,1,A,,1
1082,BMS_Sat1_MetaCellVoltages3,"cell9, cell10, cell11, cell12","uint16_t, uint16_t, uint16_t, uint16_t","mV, mV, mV, mV","0, 0, 0, 0","MetaCell voltages for satellite 1, cells 9 to 12",BMS,,200,1,A,,1
1083,BMS_Sat2_MetaCellVoltages1,"cell1, cell2, cell3, cell4","uint16_t, uint16_t, uint16_t, uint16_t","mV, mV, mV, mV","0, 0, 0, 0","MetaCell voltages for satellite 2, cells 1 to 4",BMS,,200,1,A,,1
1084,BMS_Sat2_MetaCellVoltages2,"cell5, cell6, cell7, cell8","uint16_t, uint16_t, uint16_t, uint16_t","mV, mV, mV, mV","0, 0, 0, 0","MetaCell voltages for satellite 2, cells 5 to 8",BMS,,200,1,A,,1
1085,BMS_Sat2_MetaCellVoltages3,"cell9, cell10, cell11, cell12","uint16_t, uint16_t, uint16_t, uint16_t","mV, mV, mV, mV","0, 0, 0, 0","MetaCell voltages for satellite 2, cells 9 to 12",BMS,,200,1,A,,1
1086,BMS_Sat3_MetaCellVoltages1,"cell1, cell2, cell3, cell4","uint16_t, uint16_t, uint16_t, uint16_t","mV, mV, mV, mV","0, 0, 0, 0","MetaCell voltages for satellite 3, cells 1 to 4",BMS,,200,1,A,,1
1087,BMS_Sat3_MetaCellVoltages2,"cell5, cell6, cell7, cell8","uint16_t, uint16_t, uint16_t, uint16_t","mV, mV, mV, mV","0, 0, 0, 0","MetaCell voltages for satellite 3, cells 5 to 8",BMS,,200,1,A,,1
1088,BMS_Sat3_MetaCellVoltages3,"cell9, cell10, cell11, cell12","uint16_t, uint16_t, uint16_t, uint16_t","mV, mV, mV, mV","0, 0, 0, 0","MetaCell voltages for satellite 3, cells 9 to 12",BMS,,200,1,A,,1
1089,BMS_Sat1_Temperatures,"chan1, chan2, chan3, chan4, chan5, chan6","uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t","°C,°C,°C,°C,°C,°C","0,0,0,0,0,0",BMS satellite 1 temperature,BMS,,200,1,A,,1
1090,BMS_Sat2_Temperatures,"chan1, chan2, chan3, chan4, chan5, chan6","uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t","°C,°C,°C,°C,°C,°C","0,0,0,0,0,0",BMS satellite 2 temperature,BMS,,200,1,A,,1
1091,BMS_Sat3_Temperatures,"chan1, chan2, chan3, chan4, chan5, chan6","uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t","°C,°C,°C,°C,°C,°C","0,0,0,0,0,0",BMS satellite 3 temperature,BMS,,200,1,A,,1
1100,MK5_GPS,"lat, lon","float, float","decimal degrees, decimal degrees","0, 0",Last known GPS coördinates of the MK5,MK5,,,1,A,,10
1101,MK5_GPSMetaData,"speed, heading","float, float","m/s, centidegrees","0, 0",Additional GPS data of speed and degrees from north,MK5,,,1,A,,10
1102,MK5_Strat_GPS,"lat, lon","float, float","decimal degrees, decimal degrees","0, 0",Last known GPS coördinates of the MK5,MK5,,,1,A,,10
1103,MK5_Strat_GPSMetaData,"speed, heading","float, float","m/s, centidegrees","0, 0",Additional GPS data of speed and degrees from north,MK5,,,1,A,,10
1104,MK5_Tech_GPS,"lat, lon","float, float","decimal degrees, decimal degrees","0, 0",Last known GPS coördinates of the MK5,MK5,,,1,A,,10
1105,MK5_Tech_GPSMetaData,"speed, heading","float, float","m/s, centidegrees","0, 0",Additional GPS data of speed and degrees from north,MK5,,,1,A,,10
1106,MK5_GPSTimeStamp,timestamp,uint64_t,mSec since Epoch,0,Additional GPS timestamp,MK5,,,1,A,,10
1110,BMS_ServicingParams,"overrideAcc, overrideHVIL, overrideIMD, overrideOvercurrent, resetSoC100","bool, bool, bool, bool, bool","T/F, T/F, T/F, T/F, T/F","0, 0, 0, 0, 0",Parameters for disabling certain processes in the system during servicing or testing,,BMS,,1,A,,0
1111,Srv_BMS_BalancingControl,enableBalancing,bool,T/F,0,Controls balancing on the BMS,Servicing,BMS,,1,A,,0
1130,Srv_CruiseControlOverride,"setpoint, enable","float, bool","m/s, T/F","0.f, false",Allows for overriding the Cruise Control over CAN,,ACU,,1,A,,0
1131,Srv_RegenOverride,enablePedalRegen,bool: 1,T/F,false,Override flags for regenerative braking,ACU servicing,ACU,,1,A,,0
1185,InvL_Status_NLELocomoco,"_unused1, internalOverTemperature, motorOverTemperature, overcurrent, undercurrent, overvoltage, undervoltage, _undefinedErrorBits, unused2, unused3, txErrCount, rxErrCount","uint16_t, bool:1,bool:1,bool:1,bool:1,bool:1,bool:1, uint8_t: 2, uint8_t, uint16_t, uint8_t, uint8_t","-, -,-,-,-,-,-,-,-, -, -, -","0, 0, 0, 0, 0, 0,0,0,0,0,0,0",Inverter status information,InvR,ACU,,1,A,Mirror=true,0
1186,InvL_BusMeasurement_NLELocomoco,"voltage, current","float, float","V, A","0.f, 0.f",Inverter bus measurement,"InvL,ACU","ACU,MK5",,1,A,Mirror=true,0
1187,InvL_VelocityMeasurement_NLELocomoco,"motorVelocity, vehicleVelocity","float, float","RPM, m/s","0.f, 0.f",Inverter velocity measurement,"InvL,ACU","ACU,MK5",,1,A,Mirror=true,0
1195,InvL_TemperatureMeasurement_NLELocomoco,"motorTemperature, heatsinkTemperature","float, float","deg C, deg C","0.f, 0.f",Inverter temperature measurement,InvL,ACU,,1,A,Mirror=true,1
1217,InvR_Status_NLELocomoco,"_unused1, internalOverTemperature, motorOverTemperature, overcurrent, undercurrent, overvoltage, undervoltage, _undefinedErrorBits, unused2, unused3, txErrCount, rxErrCount","uint16_t, bool:1,bool:1,bool:1,bool:1,bool:1,bool:1, uint8_t: 2, uint8_t, uint16_t, uint8_t, uint8_t","-, -,-,-,-,-,-,-,-, -, -, -","0, 0, 0, 0, 0, 0,0,0,0,0,0,0",Inverter status information,InvR,ACU,,1,A,Mirror=true,0
1218,InvR_BusMeasurement_NLELocomoco,"voltage, current","float, float","V, A","0.f, 0.f",Inverter bus measurement,"InvR,ACU","ACU,MK5",,1,A,Mirror=true,0
1219,InvR_VelocityMeasurement_NLELocomoco,"motorVelocity, vehicleVelocity","float, float","RPM, m/s","0.f, 0.f",Inverter velocity measurement,"InvR,ACU","ACU,MK5",,1,A,Mirror=true,0
1155,MPPT1_Temperatures,"tempPCB, tempMOSFET","int16_t, int16_t","cdegC, cdegC","0, 0",MPPT 1 PCB and MOSFET temperatures,MPPT1,ChC,,1,A,Mirror=true,0
1156,MPPT2_Temperatures,"tempPCB, tempMOSFET","int16_t, int16_t","cdegC, cdegC","0, 0",MPPT 2 PCB and MOSFET temperatures,MPPT2,ChC,,1,A,Mirror=true,0
1157,MPPT3_Temperatures,"tempPCB, tempMOSFET","int16_t, int16_t","cdegC, cdegC","0, 0",MPPT 3 PCB and MOSFET temperatures,MPPT3,ChC,,1,A,Mirror=true,0
1227,InvR_TemperatureMeasurement_NLELocomoco,"motorTemperature, heatsinkTemperature","float, float","deg C, deg C","0.f, 0.f",Inverter temperature measurement,InvL,ACU,,1,A,Mirror=true,1
1153,InvR_DriveCommand_NLELocomoco,"velocity, current","float, float","RPM, [0..1]","0.f, 0.f",Inverter drive command,ACU,InvR,,1,A,,0
1121,InvL_DriveCommand_NLELocomoco,"velocity, current","float, float","RPM, [0..1]","0.f, 0.f",Inverter drive command,ACU,InvL,,1,A,,0
1200,Dbg_Uint8_1,"a, b, c, d, e, f, g, h","uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t","-, -, -, -, -, -, -, -","0, 0, 0, 0, 0, 0, 0, 0",Generic UInt8's for debugging,BMS,,,1,A,,0
1201,Dbg_Uint8_2,"a, b, c, d, e, f, g, h","uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t","-, -, -, -, -, -, -, -","0, 0, 0, 0, 0, 0, 0, 0",Generic UInt8's for debugging,BMS,,,1,A,,0
1203,Dbg_Uint8_3,"a, b, c, d, e, f, g, h","uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t","-, -, -, -, -, -, -, -","0, 0, 0, 0, 0, 0, 0, 0",Generic UInt8's for debugging,BMS,,,1,A,,0
1204,Dbg_Uint8_4,"a, b, c, d, e, f, g, h","uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t, uint8_t","-, -, -, -, -, -, -, -","0, 0, 0, 0, 0, 0, 0, 0",Generic UInt8's for debugging,BMS,,,1,A,,0
1205,Dbg_Uint16_1,"a, b, c, d","uint16_t, uint16_t, uint16_t, uint16_t","-, -, -, -","0, 0, 0, 0",Generic UInt16's for debugging,ChC,,,1,A,,0
1206,Dbg_Uint16_2,"a, b, c, d","uint16_t, uint16_t, uint16_t, uint16_t","-, -, -, -","0, 0, 0, 0",Generic UInt16's for debugging,,,,1,A,,0
1207,Dbg_Uint16_3,"a, b, c, d","uint16_t, uint16_t, uint16_t, uint16_t","-, -, -, -","0, 0, 0, 0",Generic UInt16's for debugging,,,,1,A,,0
1208,Dbg_Uint16_4,"a, b, c, d","uint16_t, uint16_t, uint16_t, uint16_t","-, -, -, -","0, 0, 0, 0",Generic UInt16's for debugging,,,,1,A,,0
1209,Dbg_Uint32_1,"a, b","uint32_t, uint32_t","-, -","0, 0",Generic UInt32's for debugging,,,,1,A,,0
1210,Dbg_Uint32_2,"a, b","uint32_t, uint32_t","-, -","0, 0",Generic UInt32's for debugging,,,,1,A,,0
1211,Dbg_Uint32_3,"a, b","uint32_t, uint32_t","-, -","0, 0",Generic UInt32's for debugging,,,,1,A,,0
1212,Dbg_Uint32_4,"a, b","uint32_t, uint32_t","-, -","0, 0",Generic UInt32's for debugging,,,,1,A,,0
1213,Dbg_Float_1,"a, b","float, float","-, -","0.f, 0.f",Generic floats for debugging,"RAUX, FUC, AVC, AVC",,,1,A,,0
1214,Dbg_Float_2,"a, b","float, float","-, -","0.f, 0.f",Generic floats for debugging,"RAUX, FUC, AVC, AVC",,,1,A,,0
1215,Dbg_Float_3,"a, b","float, float","-, -","0.f, 0.f",Generic floats for debugging,RAUX,,,1,A,,0
1216,Dbg_Float_4,"a, b","float, float","-, -","0.f, 0.f",Generic floats for debugging,RAUX,,,1,A,,0
1218,Dbg_BMSFanTachNTC1,"fan_tach_adc, ntc1_adc","float, float","-, -","0.f, 0.f",FAN_TACH and NTC1_ADC raw values,BMS,,,1,A,,0
1219,Dbg_BMSNTC23,"ntc2_adc, ntc3_adc","float, float","-, -","0.f, 0.f",NTC2_ADC and NTC3_ADC raw values,BMS,,,1,A,,0
1220,Dbg_BMSDigitalInputs,"lvc_wake_bms_int, accelerometer_int, hvil_ok_meas_int, hvil_mid_meas_int, debug_int, imd_data, hv_cont_neg_meas, hv_cont_pos_meas, ivt_ocs_meas_int, lv_uv_int, hv_aux_neg, hv_aux_pos, sat_fault_int, estop_meas_int, imd_ok","bool:1,bool:1,bool:1,bool:1, bool:1,bool:1,bool:1,bool:1, bool:1,bool:1,bool:1,bool:1, bool:1,bool:1, bool: 1","H/L,H/L,H/L,H/L, H/L,H/L,H/L,H/L, H/L,H/L,H/L,H/L, H/L,H/L,H/L","0,0,0,0, 0,0,0,0, 0,0,0,0, 0,0,0",Raw input values on the BMS,BMS,,,1,A,,0
